source,target,relation
PROF_147,ORG:Doxel Pet Care,Worked at
PROF_147,ORG:Eit Food And Seed Rocket,Worked at
PROF_147,ORG:Excel Supplements Europe,Worked at
PROF_147,ORG:Ie Brown University Emba,Worked at
PROF_147,ORG:Ie Executive Education,Worked at
PROF_147,ORG:Industrial Engineering,Worked at
PROF_147,ORG:Pdd Banco Santar,Worked at
PROF_147,ORG:Universidad Europea Madrid,Worked at
PROF_147,ORG:Universidad Politécnica Madrid,Worked at
PROF_147,LOC:España,Worked in
PROF_147,LOC:Headsrping,Worked in
PROF_147,LOC:Spain,Worked in
PROF_147,LOC:Wen,Worked in
PROF_148,EDU:MSc,Has degree
PROF_148,SUBJECT:Business Administration,Teaches
PROF_148,SUBJECT:Telecommunication Engineering,Teaches
PROF_148,ORG:Banco Santander,Worked at
PROF_148,ORG:Clarity Ai,Worked at
PROF_148,ORG:Emerging Markets Sales,Worked at
PROF_148,ORG:Structured Products,Worked at
PROF_148,LOC:Spain,Worked in
PROF_148,LOC:United Kingdom,Worked in
PROF_149,ORG:Data Management,Studied at
PROF_149,EDU:MBA,Has degree
PROF_149,SUBJECT:Business Administration and Management,Teaches
PROF_149,SUBJECT:Digital Disruption Program,Teaches
PROF_149,ORG:Ace International,Worked at
PROF_149,ORG:Asian Market,Worked at
PROF_149,ORG:Economic And Trade Office,Worked at
PROF_149,ORG:Formation And Business Development,Worked at
PROF_149,ORG:Icex Embassy Of Spain,Worked at
PROF_149,ORG:Reclamador. Es,Worked at
PROF_149,ORG:Royal Collections Program Aeie,Worked at
PROF_149,ORG:Servas Goday,Worked at
PROF_149,ORG:Y Bebidas,Worked at
PROF_149,LOC:Beway,Worked in
PROF_149,LOC:Luis G,Worked in
PROF_149,LOC:Seoul,Worked in
PROF_149,LOC:South Korea,Worked in
PROF_149,LOC:Spain,Worked in
PROF_153,ORG:European Institute Campus Stellae,Studied at
PROF_153,ORG:F. R Del Pino,Studied at
PROF_153,ORG:F. Rafael Del Pino,Studied at
PROF_153,ORG:Frontiers Of Innovation And Entrepreneurship,Studied at
PROF_153,ORG:Harvard Kennedy School,Studied at
PROF_153,ORG:International Cooperation,Studied at
PROF_153,ORG:International Relations,Studied at
PROF_153,ORG:London School Of Economics,Studied at
PROF_153,ORG:Mit Sloan School Of Management,Studied at
PROF_153,ORG:Oxford University,Studied at
PROF_153,ORG:University Of Valladolid,Studied at
PROF_153,EDU:Bachelor in Telecommunications Engineer,Has degree
PROF_153,EDU:Master in International Relations and International Cooperation,Has degree
PROF_153,EDU:Master in Public Administration in International Development,Has degree
PROF_153,SUBJECT:Economics,Teaches
PROF_153,SUBJECT:Government,Teaches
PROF_153,SUBJECT:Innovation and Entrepreneurship,Teaches
PROF_153,SUBJECT:International Relations and International Cooperation,Teaches
PROF_153,SUBJECT:Management,Teaches
PROF_153,SUBJECT:Public Administration in International Development,Teaches
PROF_153,SUBJECT:Telecommunications Engineer,Teaches
PROF_153,SUBJECT:Valladolid,Teaches
PROF_153,SUBJECT:Work,Teaches
PROF_153,ORG:Economics And Global Affairs,Worked at
PROF_153,ORG:Humanitarian Office,Worked at
PROF_153,ORG:Ie Center For The Governance Of Change,Worked at
PROF_153,ORG:Ie School Of Politics,Worked at
PROF_153,ORG:Ie School Of Politics Economics And Global Affairs,Worked at
PROF_153,ORG:Interamerican Development Bank,Worked at
PROF_153,ORG:Ministry Of Foreian Affairs,Worked at
PROF_153,ORG:United Nations Development Program,Worked at
PROF_153,ORG:United Nations World Food Programme,Worked at
PROF_153,ORG:World Bank,Worked at
PROF_153,LOC:San Sebastian City,Worked in
PROF_153,LOC:Spain,Worked in
PROF_154,ORG:Mcgill University,Studied at
PROF_154,ORG:School Of Oriental And African Studies Soas,Studied at
PROF_154,ORG:University Of London,Studied at
PROF_154,SUBJECT:Arts in Global Diplomacy,Teaches
PROF_154,SUBJECT:Arts in Political Science and History,Teaches
PROF_154,SUBJECT:Oriental and African Studies SOAS,Teaches
PROF_155,ORG:And History,Studied at
PROF_155,SUBJECT:Business Administration,Teaches
PROF_155,SUBJECT:International Relations,Teaches
PROF_155,ORG:Aibifs International Finance,Worked at
PROF_155,ORG:Fresh Ideas International Training,Worked at
PROF_155,ORG:Irish Embassy,Worked at
PROF_155,LOC:Madrid,Worked in
PROF_156,ORG:Construction And Infrastructures,Studied at
PROF_156,ORG:Escuela De Organización Industrial,Studied at
PROF_156,ORG:Universidad Politécnica De Madrid,Studied at
PROF_156,EDU:MBA,Has degree
PROF_156,SUBJECT:Management Boards,Teaches
PROF_156,ORG:Ambitare Architecture Strategies,Worked at
PROF_156,ORG:Climate Action Network Europe,Worked at
PROF_156,ORG:Fundación Pablo Iglesias,Worked at
PROF_156,ORG:Life Unify Project,Worked at
PROF_156,ORG:Rupo Arensa,Worked at
PROF_156,LOC:Madrid,Worked in
PROF_156,LOC:Spain,Worked in
PROF_157,ORG:Northwestern University,Studied at
PROF_157,ORG:Telecom & Digital Business,Studied at
PROF_157,SUBJECT:Arts,Teaches
PROF_157,SUBJECT:Management,Teaches
PROF_157,SUBJECT:Social Sciences and Economics,Teaches
PROF_157,ORG:A. T. Kearney Inc,Worked at
PROF_157,ORG:Bax & Willems,Worked at
PROF_157,ORG:Economic Section,Worked at
PROF_157,ORG:Global Energy Company,Worked at
PROF_157,ORG:Independent Contract,Worked at
PROF_157,ORG:Quebecor World Logistics,Worked at
PROF_157,LOC:Bogotá,Worked in
PROF_157,LOC:Colombia,Worked in
PROF_157,LOC:Florence,Worked in
PROF_157,LOC:Italy,Worked in
PROF_157,LOC:Spain,Worked in
PROF_157,LOC:Tuenti,Worked in
PROF_157,LOC:U. S.,Worked in
PROF_157,LOC:United States,Worked in
PROF_158,ORG:Accounting Cum Laude,Studied at
PROF_158,ORG:Saint Cloud State University,Studied at
PROF_158,ORG:University Of Nebraska,Studied at
PROF_158,EDU:MBA,Has degree
PROF_158,EDU:Ph.D,Has degree
PROF_158,SUBJECT:Liberal Studies,Teaches
PROF_158,SUBJECT:Nebraska-Lincoln,Teaches
PROF_158,ORG:Larson Allen Weishair & Co,Worked at
PROF_158,LOC:Cambridge,Worked in
PROF_158,LOC:Minnesota,Worked in
PROF_159,ORG:Academic Bac,Studied at
PROF_159,ORG:Universidad Autónoma De Madrid,Studied at
PROF_159,ORG:Universidad Politécnica De Madrid,Studied at
PROF_159,EDU:MBA,Has degree
PROF_159,EDU:MSc,Has degree
PROF_159,EDU:Ph.D,Has degree
PROF_159,SUBJECT:Business Administration IE Business School,Teaches
PROF_159,SUBJECT:Economics,Teaches
PROF_159,ORG:Boston Consulting Group,Worked at
PROF_159,ORG:Economic Analysis,Worked at
PROF_159,ORG:Economics Task Force,Worked at
PROF_159,ORG:European Telecommunications Network Operators Association,Worked at
PROF_159,ORG:Ión Española De Usuarios De Telecomunicaciones,Worked at
PROF_159,ORG:Nera Economic Consulting,Worked at
PROF_159,ORG:Regulatory Services,Worked at
PROF_159,ORG:Telefónica S. A,Worked at
PROF_159,ORG:Telefónica S. A.,Worked at
PROF_159,LOC:Belgium,Worked in
PROF_159,LOC:Spain,Worked in
PROF_160,ORG:University Of Belgrade,Studied at
PROF_160,EDU:MBA,Has degree
PROF_160,SUBJECT:Belgrade,Teaches
PROF_160,ORG:Crane Co,Worked at
PROF_160,ORG:Key Accounts,Worked at
PROF_160,ORG:Telecom Media And Tech,Worked at
PROF_160,ORG:Xc Technology,Worked at
PROF_161,ORG:Academic Ba,Studied at
PROF_161,ORG:Business & Economics,Studied at
PROF_161,ORG:Coopers & Lybrand,Studied at
PROF_161,ORG:Monetary Policy & Public Sector,Studied at
PROF_161,ORG:Universidad San Pablo Ceu,Studied at
PROF_161,EDU:Master in Auditing organized by,Has degree
PROF_161,EDU:Master in Finance,Has degree
PROF_161,EDU:Phd,Has degree
PROF_161,SUBJECT:Auditing organized by,Teaches
PROF_161,SUBJECT:Business & Economics,Teaches
PROF_161,SUBJECT:Finance,Teaches
PROF_161,ORG:Assurance Division,Worked at
PROF_161,ORG:Economics & Financial Structure Division,Worked at
PROF_161,ORG:Telecom Company,Worked at
PROF_162,ORG:Complutense University Of Madrid,Studied at
PROF_162,ORG:Data Mining,Studied at
PROF_162,ORG:Digital Media,Studied at
PROF_162,ORG:Federal University Of Technology Paraná,Studied at
PROF_162,ORG:Getulio Vargas Foundation,Studied at
PROF_162,ORG:Mplutense University Of Madrid,Studied at
PROF_162,ORG:Pontifical Catholic University Of So Paulo,Studied at
PROF_162,ORG:U Tad,Studied at
PROF_162,EDU:M.Sc,Has degree
PROF_162,EDU:MBA,Has degree
PROF_162,EDU:Ph.D,Has degree
PROF_162,SUBJECT:BI and Data Mining,Teaches
PROF_162,SUBJECT:Data Science,Teaches
PROF_162,SUBJECT:Software Development,Teaches
PROF_162,SUBJECT:Statistics,Teaches
PROF_162,SUBJECT:Technology,Teaches
PROF_162,SUBJECT:Technology and Digital Media,Teaches
PROF_162,ORG:Advanced Analytics,Worked at
PROF_162,ORG:Avanade Acc,Worked at
PROF_162,ORG:Data Scientists,Worked at
PROF_162,ORG:Health Ministry,Worked at
PROF_162,ORG:Hitachi Vantara,Worked at
PROF_162,ORG:National Regulatory Agency For Private Health Insurance And Plans,Worked at
PROF_162,ORG:Pan American Health Organization,Worked at
PROF_162,LOC:Brasilia,Worked in
PROF_162,LOC:Brazil,Worked in
PROF_162,LOC:Ent,Worked in
PROF_162,LOC:London,Worked in
PROF_162,LOC:Madrid,Worked in
PROF_162,LOC:Rio De Janeiro,Worked in
PROF_162,LOC:Sao Paulo,Worked in
PROF_162,LOC:Spain,Worked in
PROF_163,ORG:Universitt Mar,Studied at
PROF_163,ORG:University Of Pennsylvania,Studied at
PROF_163,EDU:PhD,Has degree
PROF_163,SUBJECT:Business Administration,Teaches
PROF_163,SUBJECT:Management Science,Teaches
PROF_163,SUBJECT:Pennsylvania,Teaches
PROF_163,SUBJECT:Science in Management,Teaches
PROF_163,ORG:Langnese Iglo Gmbh,Worked at
PROF_163,ORG:Marketing Ice Cream,Worked at
PROF_163,ORG:Sales And Marketing,Worked at
PROF_163,ORG:Sales Depot,Worked at
PROF_163,ORG:Unilever Germany,Worked at
PROF_163,LOC:Berlin,Worked in
PROF_163,LOC:East,Worked in
PROF_164,ORG:Universidad Pontificia Comillas Icade,Studied at
PROF_164,ORG:Universidad Rey Juan,Studied at
PROF_164,EDU:Bachelor in Law and International Relations,Has degree
PROF_164,EDU:Bachelor in Political Science,Has degree
PROF_164,EDU:Master in Public Administration,Has degree
PROF_164,SUBJECT:Law and International Relations,Teaches
PROF_164,SUBJECT:Political Science,Teaches
PROF_164,SUBJECT:Public Administration,Teaches
PROF_164,ORG:Instituto De Estudios Jurídicos Internacionales,Worked at
PROF_164,ORG:Inter American Development Bank Idb,Worked at
PROF_164,ORG:Strategic Partnerships And Resource Mobilization,Worked at
PROF_164,ORG:United Nations,Worked at
PROF_164,ORG:World Leadership Alliance Club De Madrid,Worked at
PROF_164,LOC:East Africa,Worked in
PROF_164,LOC:Mauritania,Worked in
PROF_164,LOC:Middle East,Worked in
PROF_164,LOC:New York Us,Worked in
PROF_164,LOC:Rey Juan Carlos,Worked in
PROF_164,LOC:South East Asia,Worked in
PROF_164,LOC:Spain,Worked in
PROF_164,LOC:Uritania,Worked in
PROF_166,ORG:Cems Master Hec,Studied at
PROF_166,ORG:Cornell University,Studied at
PROF_166,ORG:Esade Business School,Studied at
PROF_166,ORG:Of Directors,Studied at
PROF_166,EDU:MBA,Has degree
PROF_166,SUBJECT:Directors Program,Teaches
PROF_166,ORG:Consultores Turísticos,Worked at
PROF_166,ORG:Lagardre Sports,Worked at
PROF_166,ORG:Rcdeportivo A Coruña,Worked at
PROF_166,ORG:Spanish Marketing Association,Worked at
PROF_166,ORG:Spsg Consulting,Worked at
PROF_166,ORG:Studies And Communication Department,Worked at
PROF_166,ORG:Tea Cegos,Worked at
PROF_167,ORG:Jacobs University,Studied at
PROF_167,EDU:Bachelor in Neuroscience,Has degree
PROF_167,EDU:Master in Neuroscience,Has degree
PROF_167,EDU:Master in Research Methodology & Management Science,Has degree
PROF_167,EDU:Ph.D,Has degree
PROF_167,SUBJECT:Neuroscience,Teaches
PROF_167,SUBJECT:Organizational Behavior,Teaches
PROF_167,SUBJECT:Research Methodology & Management Science,Teaches
PROF_167,ORG:Nexus Global,Worked at
PROF_167,ORG:Spark Neuro,Worked at
PROF_167,LOC:Ond,Worked in
PROF_167,LOC:United States,Worked in
PROF_169,EDU:Bachelor in Computer Science,Has degree
PROF_169,SUBJECT:Computer Science,Teaches
PROF_169,SUBJECT:Security and ECommerce,Teaches
PROF_169,ORG:Mydrive Solutions Ltd,Worked at
PROF_169,ORG:Ruby On Rails Develo,Worked at
PROF_169,LOC:Abi,Worked in
PROF_169,LOC:Amazon,Worked in
PROF_169,LOC:Jobandtale,Worked in
PROF_169,LOC:Offside,Worked in
PROF_169,LOC:Spain,Worked in
PROF_169,LOC:United Kingdom,Worked in
PROF_170,ORG:Universidad De Oviedo,Studied at
PROF_170,SUBJECT:Computer Sciences,Teaches
PROF_170,ORG:Amazon Kindle,Worked at
PROF_170,ORG:Emea South,Worked at
PROF_170,ORG:Technology For,Worked at
PROF_170,LOC:Amazon,Worked in
PROF_171,ORG:Chartered Alternative Investment Ana,Studied at
PROF_171,EDU:MBA,Has degree
PROF_171,ORG:Allfunds Investment Solutions,Worked at
PROF_171,ORG:Tsche Bank Investment Center,Worked at
PROF_172,ORG:Academic Bac,Studied at
PROF_172,ORG:Nautical And Electronic,Studied at
PROF_172,ORG:Stockholm School Of Economics,Studied at
PROF_172,ORG:Universidad De Neb,Studied at
PROF_172,ORG:University Of Wales,Studied at
PROF_172,EDU:Bachelor in Aeronautical and Electronic Engineering,Has degree
PROF_172,EDU:MBA,Has degree
PROF_172,EDU:Master in Big Data and Business Analytics,Has degree
PROF_172,EDU:Master in General Management,Has degree
PROF_172,SUBJECT:Aeronautical and Electronic Engineering,Teaches
PROF_172,SUBJECT:Big Data and Business Analytics,Teaches
PROF_172,SUBJECT:Economics,Teaches
PROF_172,SUBJECT:General Management,Teaches
PROF_172,SUBJECT:Wales,Teaches
PROF_172,ORG:Big Data & Business,Worked at
PROF_172,ORG:Gora Financial International,Worked at
PROF_172,ORG:Guider Media,Worked at
PROF_172,ORG:Oriflame Cosmetics,Worked at
PROF_172,LOC:Spain,Worked in
PROF_172,LOC:Sweden,Worked in
PROF_172,LOC:United States Of America,Worked in
PROF_173,ORG:Universidad Autónoma de Madrid,Studied at
PROF_173,EDU:BSc,Has degree
PROF_173,EDU:MSc,Has degree
PROF_173,EDU:PhD,Has degree
PROF_173,SUBJECT:Business Administration,Teaches
PROF_173,SUBJECT:Economics,Teaches
PROF_173,SUBJECT:Financial Economics,Teaches
PROF_173,SUBJECT:Quantitative Finance,Teaches
PROF_173,ORG:Bbva Group,Worked at
PROF_173,LOC:Basel,Worked in
PROF_173,LOC:Madrid,Worked in
PROF_173,LOC:Spain,Worked in
PROF_174,ORG:Chartered Financial Analyst Institute,Studied at
PROF_174,ORG:Meff Rv,Studied at
PROF_174,ORG:Universidad Autónoma De Madrid,Studied at
PROF_174,EDU:Bachelor in Economics,Has degree
PROF_174,SUBJECT:Economics,Teaches
PROF_174,ORG:Cfa Spain,Worked at
PROF_174,ORG:Equities Mutual Funds,Worked at
PROF_174,ORG:Eurozone Equity Investments,Worked at
PROF_174,ORG:Ly Re,Worked at
PROF_174,ORG:Media And Autos,Worked at
PROF_174,ORG:Meff R,Worked at
PROF_174,ORG:Mercado Español De Futuros Financieros,Worked at
PROF_174,ORG:Sbc Investment Bank Madrid,Worked at
PROF_174,ORG:Technology And Telecommunications,Worked at
PROF_174,ORG:Vercaixa Gestión Sgiic,Worked at
PROF_174,ORG:Wealth Management Madrid Area,Worked at
PROF_174,LOC:Japan,Worked in
PROF_175,ORG:Academic Ba,Studied at
PROF_175,ORG:IESE Business School,Studied at
PROF_175,ORG:Nebrija University,Studied at
PROF_175,ORG:The Valley Digital Business School,Studied at
PROF_175,EDU:Bachelor in Sales Management and Marketing,Has degree
PROF_175,EDU:Master in Digital Business,Has degree
PROF_175,SUBJECT:Digital Business,Teaches
PROF_175,SUBJECT:Managing Leadership,Teaches
PROF_175,SUBJECT:Sales Management and Marketing,Teaches
PROF_175,ORG:Necting Visions,Worked at
PROF_175,ORG:Online Channel,Worked at
PROF_175,LOC:Spain,Worked in
PROF_176,ORG:Uc Berkeley,Studied at
PROF_176,ORG:Universidad Politécnica De Madrid,Studied at
PROF_176,EDU:MBA,Has degree
PROF_176,EDU:MSc,Has degree
PROF_176,EDU:PhD,Has degree
PROF_176,SUBJECT:Philosophy,Teaches
PROF_176,ORG:Environment Transport & Planning,Worked at
PROF_176,ORG:Eureka Program,Worked at
PROF_176,ORG:Solar And Distributed Generation,Worked at
PROF_176,ORG:Space Division,Worked at
PROF_176,ORG:Thomson Consumer Electronics,Worked at
PROF_176,LOC:Europe,Worked in
PROF_176,LOC:Spain,Worked in
PROF_177,ORG:Computer Science Engineering,Studied at
PROF_177,ORG:Pontifical University Of Comillas,Studied at
PROF_177,ORG:Pontifical University Of Comillas Ica,Studied at
PROF_177,SUBJECT:Comillas ICAI-ICADE,Teaches
PROF_177,SUBJECT:Computer Science Engineering ICAI,Teaches
PROF_177,SUBJECT:Industrial Engineering ICAI,Teaches
PROF_177,ORG:& Business Consul,Worked at
PROF_177,ORG:Capgemini Consul,Worked at
PROF_177,ORG:Data General,Worked at
PROF_177,ORG:Efonica Data Spain,Worked at
PROF_177,ORG:Efonica Gro,Worked at
PROF_177,ORG:Et Services,Worked at
PROF_177,ORG:Experian Spain,Worked at
PROF_177,ORG:Gkam Telefonica Group,Worked at
PROF_177,ORG:Huawei Technologies,Worked at
PROF_177,ORG:Mahindra Group,Worked at
PROF_177,ORG:Sas Institute Spain,Worked at
PROF_177,ORG:Telco & Media,Worked at
PROF_177,ORG:Telco Media And Entertainment,Worked at
PROF_177,ORG:Telefonica Cdo Office,Worked at
PROF_177,ORG:Telefonica Group,Worked at
PROF_177,LOC:Indr,Worked in
PROF_177,LOC:Omso,Worked in
PROF_177,LOC:Portugal,Worked in
PROF_177,LOC:Reseaux,Worked in
PROF_177,LOC:Spain,Worked in
PROF_178,ORG:Cornell University,Studied at
PROF_178,ORG:Electrical Engineering,Studied at
PROF_178,ORG:Engineering Management,Studied at
PROF_178,ORG:Universidad Pontificia Comillas,Studied at
PROF_178,EDU:BSc,Has degree
PROF_178,EDU:MBA,Has degree
PROF_178,SUBJECT:Engineering in Engineering Management,Teaches
PROF_178,ORG:European Space Agency,Worked at
PROF_178,ORG:Ingeniería Y Sistemas,Worked at
PROF_178,LOC:Reb,Worked in
PROF_179,ORG:University Of Santiago De Compostela,Studied at
PROF_179,EDU:LLM,Has degree
PROF_179,SUBJECT:Santiago de Compostela,Teaches
PROF_180,ORG:Universidad Complutense de Madrid,Studied at
PROF_180,ORG:Universidad Europea De Madrid,Studied at
PROF_180,ORG:Edtech In,Worked at
PROF_180,ORG:Instituto Superior Madrileño De Innovación,Worked at
PROF_180,LOC:Spain,Worked in
PROF_181,ORG:IESE Business School,Studied at
PROF_181,ORG:Imf Business School,Studied at
PROF_181,ORG:Polytechnic University Of Madrid,Studied at
PROF_181,ORG:Royal Music Conservatory,Studied at
PROF_181,EDU:MSc,Has degree
PROF_181,ORG:Cciona Engineering,Worked at
PROF_181,ORG:Inse Rail,Worked at
PROF_181,ORG:Strategic Transport Systems,Worked at
PROF_181,ORG:Tramway And Metro Systems Unit,Worked at
PROF_181,LOC:Brazil,Worked in
PROF_181,LOC:Castrosua,Worked in
PROF_181,LOC:Colombia,Worked in
PROF_181,LOC:Egypt,Worked in
PROF_181,LOC:El Salvador,Worked in
PROF_181,LOC:Iberinsa,Worked in
PROF_181,LOC:Spain,Worked in
PROF_182,ORG:Esade Business School,Studied at
PROF_182,ORG:Harvard Business School,Studied at
PROF_182,ORG:IESE Business School,Studied at
PROF_182,ORG:Universitt Mannheim,Studied at
PROF_182,EDU:Bachelor in Business Administration,Has degree
PROF_182,SUBJECT:Business Administration,Teaches
PROF_182,ORG:Criteria Caixa Corp,Worked at
PROF_182,ORG:Kreis Deutschspra,Worked at
PROF_182,ORG:Management Board,Worked at
PROF_182,ORG:Société Foncire Lyonnaise,Worked at
PROF_182,LOC:Barcelona,Worked in
PROF_182,LOC:Germany,Worked in
PROF_182,LOC:Paris,Worked in
PROF_183,ORG:Columbia University,Studied at
PROF_183,ORG:University Of Na,Studied at
PROF_183,EDU:LL.M,Has degree
PROF_183,EDU:Ph.D,Has degree
PROF_183,SUBJECT:Law,Teaches
PROF_183,SUBJECT:Navarra,Teaches
PROF_183,SUBJECT:New York,Teaches
PROF_183,ORG:Baker & Mckenzie,Worked at
PROF_183,ORG:M2 Legal Services,Worked at
PROF_183,ORG:Maritime Lawyers,Worked at
PROF_183,ORG:Ramco Litigation Funding,Worked at
PROF_183,ORG:Spanish Lawyers,Worked at
PROF_183,LOC:London,Worked in
PROF_183,LOC:Madrid,Worked in
PROF_184,ORG:Brand Management,Worked at
PROF_184,ORG:Fmcg World Company,Worked at
PROF_184,ORG:Shopper Marketing,Worked at
PROF_184,ORG:Solán De Cabras,Worked at
PROF_184,LOC:Portugal,Worked in
PROF_184,LOC:Spain,Worked in
PROF_185,ORG:Academic Bac,Studied at
PROF_185,ORG:Diploma De Estudios Ava,Studied at
PROF_185,ORG:Lancaster University,Studied at
PROF_185,ORG:Universidad Pontificia Comillas,Studied at
PROF_185,ORG:Universidad Rey Juan,Studied at
PROF_185,SUBJECT:Business Administration and Management,Teaches
PROF_185,SUBJECT:Business Analysis,Teaches
PROF_185,SUBJECT:International Business Studies,Teaches
PROF_185,SUBJECT:Senior Management,Teaches
PROF_185,ORG:Customer Segments,Worked at
PROF_185,ORG:Customer Strategy,Worked at
PROF_185,ORG:Indigo Value Analysis,Worked at
PROF_185,ORG:Retail Products,Worked at
PROF_185,ORG:Santander Uk,Worked at
PROF_185,ORG:Savings And Investments,Worked at
PROF_185,LOC:Santa,Worked in
PROF_185,LOC:Santander Spain,Worked in
PROF_186,ORG:Universidad Complutense de Madrid,Studied at
PROF_186,ORG:Universidad Iii De Madrid,Studied at
PROF_186,EDU:Bachelor in Economics,Has degree
PROF_186,EDU:MSc,Has degree
PROF_186,EDU:Ph.D,Has degree
PROF_186,SUBJECT:Economics,Teaches
PROF_186,SUBJECT:Industrial Economics and Markets,Teaches
PROF_186,ORG:Tmf Spain,Worked at
PROF_186,ORG:Ía Y Economía Del Transporte S. A,Worked at
PROF_186,LOC:Free,Worked in
PROF_186,LOC:Spain,Worked in
PROF_187,ORG:Universidade De Brasília,Studied at
PROF_187,EDU:Bachelor in Political Science,Has degree
PROF_187,EDU:Ph.D,Has degree
PROF_187,SUBJECT:Latin America,Teaches
PROF_187,SUBJECT:Political Science,Teaches
PROF_187,ORG:Board Of International Trade And Investments,Worked at
PROF_187,LOC:Brasilia,Worked in
PROF_187,LOC:Brazil,Worked in
PROF_188,ORG:Brown University,Studied at
PROF_188,ORG:Media & Communication,Studied at
PROF_188,ORG:Ucm & Katholieke Universiteit,Studied at
PROF_188,EDU:MBA,Has degree
PROF_188,EDU:Ph.D,Has degree
PROF_188,SUBJECT:Business Administration,Teaches
PROF_188,SUBJECT:Economics,Teaches
PROF_188,SUBJECT:Media & Communication Science,Teaches
PROF_188,ORG:Mashang Co. Ltd,Worked at
PROF_188,ORG:Spain Foundation,Worked at
PROF_188,ORG:Spanish Chamber Of Commerce,Worked at
PROF_188,ORG:Tedra China,Worked at
PROF_188,ORG:Timex Industrial Investment,Worked at
PROF_188,ORG:Yixinou Spain,Worked at
PROF_188,ORG:Zhejiang & Shanghai,Worked at
PROF_188,LOC:China,Worked in
PROF_188,LOC:Hong Kong,Worked in
PROF_188,LOC:Spain,Worked in
PROF_189,ORG:University Of Cantabria,Studied at
PROF_189,SUBJECT:Cantabria,Teaches
PROF_189,SUBJECT:Law,Teaches
PROF_189,ORG:& Ucel,Worked at
PROF_189,ORG:De La Tor,Worked at
PROF_189,ORG:Ucelay La,Worked at
PROF_189,ORG:Y Law,Worked at
PROF_190,ORG:Government And Social Policy,Studied at
PROF_190,ORG:Harvard Graduate School Of Arts And Sciences,Studied at
PROF_190,ORG:Harvard Kennedy School Of Government,Studied at
PROF_190,ORG:Peace Justice And Strong Institutions,Studied at
PROF_190,ORG:University Of Oxford,Studied at
PROF_190,EDU:Master in Public Policy,Has degree
PROF_190,EDU:PhD,Has degree
PROF_190,SUBJECT:Arts and Sciences,Teaches
PROF_190,SUBJECT:Government,Teaches
PROF_190,SUBJECT:Government and Social Policy,Teaches
PROF_190,SUBJECT:Mathematics and Philosophy,Teaches
PROF_190,SUBJECT:Oxford,Teaches
PROF_190,SUBJECT:Public Policy,Teaches
PROF_191,ORG:Advanced Corporate Finance,Worked at
PROF_191,ORG:Arthur Anrsen Alt,Worked at
PROF_191,ORG:Bank Of America,Worked at
PROF_191,ORG:Credit Suisse First Boston,Worked at
PROF_191,ORG:Cunef University,Worked at
PROF_191,ORG:Dba In,Worked at
PROF_191,ORG:Fintiis Capital,Worked at
PROF_191,ORG:Icade University,Worked at
PROF_191,ORG:Investment Banking,Worked at
PROF_191,ORG:M & A Iberia,Worked at
PROF_191,ORG:Management And Technology,Worked at
PROF_191,ORG:Morgan Stanley,Worked at
PROF_191,ORG:Ubs Limited,Worked at
PROF_191,ORG:University Of Birmingham,Worked at
PROF_191,LOC:Spain,Worked in
PROF_192,ORG:Climate Action,Studied at
PROF_192,ORG:Iversitat Autonoma De Barcelona,Studied at
PROF_192,ORG:Utrecht University,Studied at
PROF_192,EDU:MSc,Has degree
PROF_192,EDU:PhD,Has degree
PROF_192,SUBJECT:Biogeochemistry,Teaches
PROF_192,SUBJECT:Biology,Teaches
PROF_192,SUBJECT:Oceanography,Teaches
PROF_193,ORG:Advertising Age,Studied at
PROF_193,ORG:And Business,Studied at
PROF_193,ORG:Complutense University Of Madrid,Studied at
PROF_193,ORG:Economy And Business Administration,Studied at
PROF_193,ORG:Mplutense University Of Madrid,Studied at
PROF_193,ORG:Spanish Advertising Agencies Association,Studied at
PROF_193,EDU:Master in Economy and Business Administration from IESE,Has degree
PROF_193,EDU:PhD,Has degree
PROF_193,SUBJECT:Economic and Business Science,Teaches
PROF_193,SUBJECT:Economy and Business Administration from IESE,Teaches
PROF_193,SUBJECT:English,Teaches
PROF_193,SUBJECT:Mathematics from the Complutense University of Madrid,Teaches
PROF_193,SUBJECT:San Sebasti,Teaches
PROF_193,ORG:European Personal Care Innovation Center,Worked at
PROF_193,LOC:Greece,Worked in
PROF_193,LOC:Spain,Worked in
PROF_194,ORG:University Of Zaragoza,Studied at
PROF_194,EDU:MBA,Has degree
PROF_194,SUBJECT:Business Administration IE Business School,Teaches
PROF_194,SUBJECT:Mathematics,Teaches
PROF_194,SUBJECT:Zaragoza,Teaches
PROF_194,ORG:Audit Committee,Worked at
PROF_194,ORG:Construcciones Auxiliares De Ferrocarriles,Worked at
PROF_194,ORG:Royal Bank Of Scotland,Worked at
PROF_194,LOC:Bank,Worked in
PROF_194,LOC:Iberian Peninsula,Worked in
PROF_194,LOC:Natra,Worked in
PROF_195,ORG:Academic Bac,Studied at
PROF_195,ORG:Massachusetts Institute Of Technology,Studied at
PROF_195,ORG:Sloan School Of Management,Studied at
PROF_195,ORG:Universidad Pontificia Comillas,Studied at
PROF_195,ORG:Universidad Pontificia De Comillas,Studied at
PROF_195,EDU:MBA,Has degree
PROF_195,EDU:Ph.D,Has degree
PROF_195,SUBJECT:Management,Teaches
PROF_195,SUBJECT:Technology,Teaches
PROF_195,ORG:Banco Santander,Worked at
